IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,43898,157.240.204.34,443,10060,Meta Services,HTTPS,Cerrado,mqtt-mini.facebook.com,1339,767,9,8,1697262229002,1697262230121
17,10.215.173.1,44444,10.215.173.2,53,10060,Meta Services,DNS,Cerrado,mqtt-mini.facebook.com,136,113,2,1,1697262229037,1697262233915
17,10.215.173.1,51648,10.215.173.2,53,10224,Servicios de Google Play,DNS,Cerrado,mtalk.google.com,124,107,2,1,1697262229064,1697262234059
6,10.215.173.1,39686,161.117.251.70,443,10316,Mi Fitness,TCP,Cerrado,,912,378,6,5,1697262229178,1697262230798
6,10.215.173.1,56936,64.233.186.188,5228,10224,Servicios de Google Play,TLS,Cerrado,mtalk.google.com,1465,1184,9,8,1697262234066,1697262234366
17,10.215.173.1,4956,10.215.173.2,53,10239,Chrome,DNS,Cerrado,www.google.com,60,156,1,1,1697262241830,1697262241899
17,10.215.173.1,45186,10.215.173.2,53,10239,Chrome,DNS,Cerrado,www.google.com,60,0,1,0,1697262241839,1697262241839
17,10.215.173.1,58375,142.251.0.99,443,10239,Chrome,QUIC,Cerrado,www.google.com,0,0,0,0,1697262241928,1697262245931
6,10.215.173.1,50538,142.251.0.99,443,10239,Chrome,HTTPS,Cerrado,www.google.com,19284,19951,69,90,1697262241981,1697262259900
17,10.215.173.1,35608,10.215.173.2,53,10239,Chrome,DNS,Cerrado,id.google.com,59,75,1,1,1697262242001,1697262242101
17,10.215.173.1,30358,10.215.173.2,53,10239,Chrome,DNS,Cerrado,id.google.com,59,0,1,0,1697262242015,1697262242015
6,10.215.173.1,35768,64.233.186.94,443,10239,Chrome,HTTPS,Cerrado,id.google.com,2956,8644,11,9,1697262242128,1697262242339
17,10.215.173.1,16000,10.215.173.2,53,10239,Chrome,DNS,Cerrado,cdn.ampproject.org,64,106,1,1,1697262243046,1697262243067
17,10.215.173.1,21206,10.215.173.2,53,10239,Chrome,DNS,Cerrado,cdn.ampproject.org,64,150,1,1,1697262243057,1697262243130
17,10.215.173.1,48043,142.250.0.132,443,10239,Chrome,QUIC,Cerrado,cdn.ampproject.org,0,0,0,0,1697262243079,1697262247079
17,10.215.173.1,57123,142.250.0.132,443,10239,Chrome,QUIC,Cerrado,cdn.ampproject.org,0,0,0,0,1697262243084,1697262247080
6,10.215.173.1,54082,142.250.0.132,443,10239,Chrome,HTTPS,Cerrado,cdn.ampproject.org,1793,13299,14,11,1697262243143,1697262243330
6,10.215.173.1,54086,142.250.0.132,443,10239,Chrome,HTTPS,Cerrado,cdn.ampproject.org,1743,13259,12,10,1697262243150,1697262243335
